13, 3, 4
19, 16, 2
26, 3, 1
26, 2, 1
30, 18, 3
41, 14, 1
46, 20, 2
52, 19, 1
58, 4, 3
66, 16, 2
67, 1, 1
73, 19, 4
75, 5, 1
80, 1, 1
87, 2, 3
89, 3, 1
113, 9, 4
137, 2, 2
141, 3, 3
148, 11, 2
155, 12, 3
165, 1, 1
171, 9, 1
182, 11, 2
192, 4, 3
192, 7, 4
197, 20, 2
225, 6, 3
226, 17, 2
238, 13, 3
256, 1, 1
274, 8, 2
291, 3, 2
301, 2, 3
307, 16, 3
312, 3, 2
314, 4, 2
329, 15, 1
338, 5, 3
374, 12, 1
391, 6, 2
395, 6, 2
412, 10, 4
418, 15, 2
425, 14, 4
427, 12, 3
432, 19, 1
435, 18, 4
462, 1, 1
472, 11, 4
498, 13, 3
525, 16, 1
527, 13, 3
527, 7, 3
531, 8, 4
537, 8, 2
541, 15, 3
559, 4, 1
593, 2, 4
603, 7, 4
620, 6, 1
623, 14, 4
629, 20, 4
633, 13, 1
673, 15, 1
675, 19, 1
679, 16, 2
693, 17, 4
700, 18, 3
708, 5, 2
721, 20, 1
736, 15, 4
748, 17, 1
751, 2, 3
752, 7, 1
776, 2, 2
777, 14, 3
781, 10, 3
788, 6, 4
789, 5, 2
794, 7, 4
807, 10, 1
838, 17, 1
847, 3, 4
856, 16, 2
859, 4, 4
864, 13, 4
867, 3, 1
873, 17, 1
890, 12, 4
927, 4, 3
937, 11, 1
957, 5, 3
959, 4, 2
962, 11, 3
964, 16, 1
965, 11, 1
974, 15, 1
977, 11, 1
984, 9, 1
